,Name,Position,Age,Height,FG%,3P%,AST,TOV,PTS,Tm,Rebounds,STL,BLK,Overall,PERSON_ID
0,Jaylen Brown,SG,24,"6' 6""",0.473,0.358,3.5,2.7,23.6,BOS,6.1,1.1,0.3,71.4456262209681,1627759.0
1,Kris Dunn,PG,27,"6' 3""",0.431,0.091,5.6,2.3,7.6,POR,3.5,1.6,0.2,47.05882352941176,1627739.0
2,Carsen Edwards,PG,23,"5' 11""",0.3,0.25,3.5,1.3,5.8,DET,1.5,0.5,0.0,35.055350553505534,
3,Tacko Fall,C,25,"7' 5""",0.417,0.0,0.2,0.3,1.1,CLE,2.1,0.0,0.5,19.112220533970046,
4,Bruno Fernando,F,23,"6' 9""",0.655,0.5,0.2,0.5,2.9,TOT,1.7999999999999998,0.0,0.4,44.44323855003256,
5,Bruno Fernando,F,23,"6' 9""",0.5,1.0,0.2,0.3,1.0,BOS,0.8,0.0,0.2,51.877577599305404,
6,Bruno Fernando,F,23,"6' 9""",0.707,0.0,0.3,0.9,6.9,HOU,4.0,0.1,0.8,38.43064901237248,
7,Al Horford,C,35,"6' 9""",0.467,0.336,3.4,0.9,10.2,BOS,7.699999999999999,0.7,1.3,59.463859344475786,201143.0
8,Luke Kornet,C,26,"7' 2""",0.481,0.0,0.6,0.0,2.0,TOT,2.0,0.2,0.2,22.60690253961363,1628436.0
9,Luke Kornet,C,26,"7' 2""",0.2,0.0,0.5,0.0,2.0,CLE,1.5,0.0,0.5,13.023659648361189,1628436.0
10,Luke Kornet,C,26,"7' 2""",0.0,0.0,0.0,0.0,0.0,MIL,1.0,0.0,0.0,1.085304970696766,1628436.0
11,Luke Kornet,C,26,"7' 2""",0.571,0.0,0.7,0.0,2.2,BOS,2.1,0.3,0.2,26.405469937052313,1628436.0
12,Romeo Langford,SG,21,"6' 4""",0.435,0.341,0.4,0.3,4.5,TOT,2.2,0.5,0.3,36.010418927718696,
13,Romeo Langford,SG,21,"6' 4""",0.429,0.349,0.4,0.4,4.7,BOS,2.4,0.5,0.4,36.83525070544823,
14,Romeo Langford,SG,21,"6' 4""",0.571,0.0,0.5,0.0,2.8,SAS,1.0,0.3,0.0,24.77751248100716,
15,Aaron Nesmith,SF,21,"6' 5""",0.396,0.27,0.4,0.6,3.8,BOS,1.7,0.4,0.1,30.149772085956155,
16,Jabari Parker,PF,26,"6' 8""",0.474,0.5,0.5,0.7,4.4,BOS,2.3,0.3,0.1,41.37182548296071,203953.0
17,Payton Pritchard,PG,23,"6' 1""",0.429,0.412,2.0,0.6,6.2,BOS,1.9,0.4,0.1,42.14239201215542,
18,Josh Richardson,SG,27,"6' 5""",0.438,0.415,1.8,1.0,10.2,TOT,2.8000000000000003,0.9,0.4,50.02170609941394,1626196.0
19,Josh Richardson,SG,27,"6' 5""",0.443,0.397,1.5,0.9,9.7,BOS,2.9,0.8,0.5,48.513132190145434,1626196.0
20,Josh Richardson,SG,27,"6' 5""",0.429,0.444,2.3,1.3,11.4,SAS,2.9000000000000004,1.0,0.3,53.16909051443456,1626196.0
21,Dennis Schroder,PG,27,"6' 3""",0.431,0.344,4.6,2.2,13.5,TOT,3.3,0.8,0.1,56.38159322769699,203471.0
22,Dennis Schroder,PG,27,"6' 3""",0.44,0.349,4.2,2.1,14.4,BOS,3.4,0.8,0.1,57.054482309528964,203471.0
23,Dennis Schroder,PG,27,"6' 3""",0.393,0.328,5.9,2.6,10.9,HOU,3.3,0.8,0.2,54.94899066637725,203471.0
24,Marcus Smart,PG,27,"6' 3""",0.418,0.331,5.9,2.2,12.1,BOS,3.8000000000000003,1.7,0.3,60.96158020403733,203935.0
25,Jayson Tatum,SF,23,"6' 8""",0.453,0.353,4.4,2.9,26.9,BOS,8.0,1.0,0.6,78.87996527024094,1628369.0
26,Grant Williams,PF,22,"6' 6""",0.475,0.411,1.0,0.8,7.8,BOS,3.5,0.5,0.7,47.189060125895374,
27,LaMarcus Aldridge,F,36,"6' 11""",0.55,0.304,0.9,0.9,12.9,BRK,5.5,0.3,1.0,53.961363143043194,200746.0
28,DeAndre' Bembry,SG,27,"6' 5""",0.561,0.417,1.2,0.6,5.1,TOT,3.0,0.9,0.4,47.47123941827655,1627761.0
29,DeAndre' Bembry,SG,27,"6' 5""",0.568,0.417,1.3,0.6,5.8,BRK,3.2,1.0,0.5,49.544171912307355,1627761.0
30,DeAndre' Bembry,SG,27,"6' 5""",0.375,0.0,0.8,0.1,0.8,MIL,1.4,0.3,0.0,17.31061428261341,1627761.0
31,Bruce Brown,SF,25,"6' 4""",0.506,0.404,2.1,0.8,9.0,BRK,4.8,1.1,0.7,55.02496201432603,1628971.0
32,Jevon Carter,PG,25,"6' 1""",0.387,0.388,1.5,0.5,4.2,TOT,1.7,0.4,0.2,36.8461037551552,1628975.0
